,epoch,train_loss,train_action_accuracy,train_route_accuracy,valid_loss,valid_action_accuracy,valid_route_accuracy
0,0,0.0016910281377134,0.1138862191908231,0.0172075022328073,0.0012558272764594,0.1604032997250229,0.0251763561177329
1,1,0.0011259791121951172,0.1792032243063091,0.0329264662101816,0.001003482494376261,0.19966391689581423,0.036973972269520795
2,2,0.0009214562343965684,0.20957991009145868,0.03971420065495683,0.0008464150575243614,0.22410632447296058,0.043420092434930675
3,3,0.0007916350519683744,0.22989303983878467,0.045058052991961896,0.0007402609144760803,0.23729504022812914,0.046460715154463636
4,4,0.0006984583965857469,0.2433421175011626,0.04833283715391486,0.0006622164716563103,0.24753029840105917,0.049379712965215275
5,5,0.0006278948557363557,0.25237017516664084,0.052649598094671034,0.0006018862440462478,0.2582238517160607,0.05071758696180978
6,6,0.0005719838193839504,0.2597302743760657,0.05333432569217029,0.0005538093370639465,0.26234850799470416,0.05035271223546582
7,7,0.0005255885650625542,0.2653914121841575,0.05489729086037511,0.0005142208130564541,0.2663713209084428,0.051690586232060326
8,8,0.00048700743961879717,0.2687025267400403,0.055403393867222386,0.0004808453477876769,0.26942662185558613,0.05229871077596692
9,9,0.00045470792154360206,0.2720818477755387,0.05634117296814528,0.00045243182420645926,0.2716671758834912,0.053514959863780104
