path,epoch,train_loss,train_action_accuracy,train_route_accuracy,valid_loss,valid_action_accuracy,valid_route_accuracy,seconds_per_epoch,study_name,trial_number,config_hash,n_epochs,gradient_norm,learning_rate,is_best,epochs_without_improvement,n_lr_reductions,best_valid_route_accuracy,elapsed_seconds,timestamp
hypertune-baseline-large-emma-21-layers/trial_000/train_progress.jsonl,99,0.019515631699666136,0.27329130958283165,0.03982660840461138,0.05348543486964535,0.2669337912612097,0.042930953499295446,246.6181025505066,,,,,,,,,,,,
hypertune-baseline-large-emma-21-layers/trial_001/train_progress.jsonl,98,0.010361157323788702,0.3009136624406828,0.04727593901078468,0.042910196936466326,0.28338103415378746,0.04659464537341475,317.10016655921936,,,,,,,,,,,,
hypertune-baseline-large-emma-21-layers/trial_002/train_progress.jsonl,98,0.017001816848421645,0.3021177137191019,0.050332372629230196,0.052217512981782496,0.29372257202823887,0.051009863785814936,407.6860659122467,,,,,,,,,,,,
hypertune-baseline-large-emma-21-layers/trial_003/train_progress.jsonl,59,0.012457040061912656,0.32784191514979816,0.05691009669021941,0.04677324296093323,0.30440755580995993,0.04988257397839361,666.3868451118469,,,,,,,,,,,,
hypertune-baseline-large-emma-24-layers/trial_000/train_progress.jsonl,10,0.010588509280795765,0.1155039308732913,0.006089624395686129,0.05152568696919357,0.10997901163900019,0.004790981681540629,81.819100856781,,,,,,,,,,,,
hypertune-baseline-standard-lr211-100epochs/trial_001/train_progress.jsonl,28,0.015009591422566528,0.2539934367400902,0.033248884343622165,0.05248707308974898,0.23789353176874642,0.028182245185533115,72.25550389289856,,,,,,,,,,,,
hypertune-baseline_small_hyperparameter_tuning/trial_002/train_progress.jsonl,0,0.5946332128210501,0.0740718460813507,0.007533082975679542,0.9406495285885674,0.035226033716346555,0.0001864975755315181,10.41478681564331,,,,,,,,,,,,
hypertune-baseline_small_hyperparameter_tuning/trial_003/train_progress.jsonl,0,0.3414035490290685,0.08375693044986515,0.006549535050071531,0.15430497351501668,0.07221336911851044,0.002237970906378217,33.91883039474487,,,,,,,,,,,,
hypertune-baseline_small_hyperparameter_tuning/trial_004/train_progress.jsonl,76,0.016256258494898,0.3514201782616978,0.10313841201716738,0.05376678088768607,0.33078923089826384,0.09809772472957852,10.331977128982544,,,,,,,,,,,,
hypertune-baseline_small_hyperparameter_tuning/trial_005/train_progress.jsonl,22,0.008524985585774464,0.23268264805847144,0.048886802575107295,0.056406539595974164,0.22511112974922418,0.047929876911600146,8.227148532867432,,,,,,,,,,,,
hypertune-baseline_small_hyperparameter_tuning/trial_006/train_progress.jsonl,0,0.6773290419104424,0.0660911761462187,0.007801323319027182,0.8364246835311254,0.012496854818418184,0.0050354345393509884,25.285253524780273,,,,,,,,,,,,
